_id,neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
239,Northview Heights,116,,,,,,,119,Y,55,64,119,,6-8
240,Oakwood,,,,,,,,,Y,,,,Y,6-8
241,Overbrook,11,,,,,,50,70,Y,45,25,70,,6-8
242,Perry North,41,,,,,,30,83,Y,37,46,83,,6-8
243,Perry South,92,,,,,,,108,Y,29,79,108,,6-8
244,Point Breeze,,,,,,,32,45,Y,21,24,45,,6-8
245,Point Breeze North,,,,,,,11,25,Y,,,25,Y,6-8
246,Polish Hill,,,,,,,,,Y,,,,Y,6-8
247,Regent Square,,,,,,,,,Y,,,,Y,6-8
248,Ridgemont,,,,,,,,,Y,,,,Y,6-8
249,Saint Clair,,,,,,,,,Y,,,,Y,6-8
250,Shadyside,,,,,,,13,39,Y,26,13,39,,6-8
251,Sheraden,110,,,,21,,14,156,Y,95,61,156,,6-8
252,South Oakland,,,,,,,,13,Y,,,13,Y,6-8
253,South Side Flats,,,,,,,,16,Y,,,16,Y,6-8
254,South Side Slopes,11,,,,,,24,52,Y,20,32,52,,6-8
255,Spring Garden,,,,,,,,12,Y,,,12,Y,6-8
256,Spring Hill-City View,18,,,,,,20,47,Y,33,14,47,,6-8
257,Squirrel Hill North,,,,,,,48,61,Y,42,19,61,,6-8
258,Squirrel Hill South,13,,,,11,,79,115,Y,77,38,115,,6-8
259,Stanton Heights,40,,,,,,27,75,Y,32,43,75,,6-8
260,Strip District,,,,,,,,,Y,,,,Y,6-8
261,Summer Hill,,,,,,,,12,Y,,,12,Y,6-8
262,Swisshelm Park,,,,,,,,,Y,,,,Y,6-8
263,Terrace Village,62,,,,,,,67,Y,13,54,67,,6-8
264,Troy Hill,18,,,,,,19,41,Y,29,12,41,,6-8
265,Upper Hill,27,,,,,,,34,Y,12,22,34,,6-8
266,Upper Lawrenceville,,,,,,,17,26,Y,14,12,26,,6-8
267,West End,,,,,,,,,Y,,,,Y,6-8
268,West Oakland,11,,,,,,,11,N,,,11,Y,6-8
269,Westwood,,,19,,,,24,55,Y,34,21,55,,6-8
270,Wilkinsburg Borough,94,,,,,,,98,Y,,,98,Y,6-8
271,Windgap,17,,,,,,,27,Y,14,13,27,,6-8
272,Allegheny Center,14,,,,,,,18,Y,,,18,Y,9-12
273,Allegheny West,,,,,,,,,Y,,,,Y,9-12
274,Allentown,48,,,,,,,67,Y,35,32,67,,9-12
275,Arlington,28,,,,,,28,60,Y,37,23,60,,9-12
276,Arlington Heights,,,,,,,,,Y,,,,Y,9-12
277,Banksville,,,,,,,26,43,Y,29,14,43,,9-12
278,Bedford Dwellings,47,,,,,,,48,Y,26,22,48,,9-12
279,Beechview,53,,,43,18,,98,215,Y,165,50,215,,9-12
280,Beltzhoover,51,,,,,,,70,Y,34,36,70,,9-12
281,Bloomfield,12,,,,,,33,65,Y,,,65,Y,9-12
282,Bluff,,,,,,,,,Y,,,,Y,9-12
283,Bon Air,,,,,,,13,18,Y,,,18,Y,9-12
284,Brighton Heights,78,,,,19,,50,151,Y,46,105,151,,9-12
285,Brookline,40,,14,17,22,,216,310,Y,190,120,310,,9-12
286,California-Kirkbride,28,,,,,,,33,Y,13,20,33,,9-12
287,Carrick,95,,44,15,41,,183,378,N,233,145,378,,9-12
288,Central Lawrenceville,,,,,,,36,46,Y,,,46,Y,9-12
289,Central Northside,22,,,,,,,34,Y,,,34,Y,9-12
290,Central Oakland,,,,,,,,,Y,,,,Y,9-12
291,Chartiers City,,,,,,,,,Y,,,,Y,9-12
292,Crafton Heights,79,,,,17,,51,154,Y,118,36,154,,9-12
293,Crawford-Roberts,59,,,,,,,62,Y,26,36,62,,9-12
294,Duquesne Heights,,,,,,,16,22,Y,,,22,Y,9-12
295,East Allegheny,,,,,,,,20,Y,,,20,Y,9-12
296,East Carnegie,,,,,,,,,Y,,,,Y,9-12
297,East Hills,118,,,,,,,120,Y,65,55,120,,9-12
298,East Liberty,90,,,,,,,113,Y,47,66,113,,9-12
299,Elliott,39,,,,,,11,59,Y,41,18,59,,9-12
300,Esplen,,,,,,,,,Y,,,,Y,9-12
301,Fairywood,15,,,,,,,22,Y,,,22,Y,9-12
302,Fineview,13,,,,,,,18,Y,,,18,Y,9-12
303,Friendship,,,,,,,,20,Y,,,20,Y,9-12
304,Garfield,128,,,,,,11,148,Y,38,110,148,,9-12
305,Glen Hazel,20,,,,,,,22,Y,,,22,Y,9-12
306,Golden Triangle,,,,,,,,,Y,,,,Y,9-12
307,Greenfield,14,,,,12,,114,157,Y,104,53,157,,9-12
308,Hays,,,,,,,,11,Y,,,11,Y,9-12
309,Hazelwood,135,,,,,,46,194,Y,145,49,194,,9-12
310,Highland Park,43,,,,,,74,133,Y,,,133,Y,9-12
311,Homewood North,129,,,,,,,140,Y,83,57,140,,9-12
312,Homewood South,116,,,,,,,122,Y,67,55,122,,9-12
313,Homewood West,24,,,,,,,27,Y,,,27,Y,9-12
314,Knoxville,121,,,11,13,,26,175,Y,107,68,175,,9-12
315,Larimer,52,,,,,,,57,Y,20,37,57,,9-12
316,Lincoln Place,15,,,,,,53,78,Y,,,78,Y,9-12
317,Lincoln-Lemington-Belmar,134,,,,,,,144,Y,78,66,144,,9-12
318,Lower Lawrenceville,,,,,,,,18,Y,,,18,Y,9-12
319,Manchester,35,,,,,,,44,Y,12,32,44,,9-12
320,Marshall-Shadeland,95,,,,,,14,119,Y,55,64,119,,9-12
321,Middle Hill,41,,,,,,,44,Y,15,29,44,,9-12
322,Morningside,11,,,,,,24,43,Y,,,43,Y,9-12
323,Mount Oliver,13,,,,,,,21,Y,,,21,Y,9-12
324,Mount Washington,40,,,,15,,48,105,Y,80,25,105,,9-12
325,Mt. Oliver Borough,79,,,,16,,30,144,Y,81,63,144,,9-12
326,New Homestead,,,,,,,28,38,Y,,,38,Y,9-12
327,North Oakland,,,,,,,,,Y,,,,Y,9-12
328,Northview Heights,129,,,,,,,136,Y,42,94,136,,9-12
329,Oakwood,,,,,,,,17,Y,,,17,Y,9-12
330,Overbrook,,,,,,,55,74,Y,43,31,74,,9-12
331,Perry North,47,,,,14,,26,91,Y,40,51,91,,9-12
332,Perry South,100,,,,,,,119,Y,54,65,119,,9-12
333,Point Breeze,,,,,,,136,162,Y,118,44,162,,9-12
334,Point Breeze North,39,,,,,,,52,Y,39,13,52,,9-12
335,Polish Hill,,,,,,,,11,Y,,,11,Y,9-12
336,Regent Square,,,,,,,24,27,Y,,,27,Y,9-12
337,Ridgemont,,,,,,,,,Y,,,,Y,9-12
338,Saint Clair,,,,,,,,,Y,,,,Y,9-12
339,Shadyside,,,,,,,31,45,Y,31,14,45,,9-12
340,Sheraden,146,,,,19,,29,205,Y,138,67,205,,9-12
341,South Oakland,25,,,,,,,40,Y,,,40,Y,9-12
342,South Side Flats,,,,,,,21,40,Y,17,23,40,,9-12
343,South Side Slopes,,,,,,,27,42,Y,21,21,42,,9-12
344,Spring Garden,,,,,,,,16,Y,,,16,Y,9-12
345,Spring Hill-City View,33,,,,,,16,60,Y,26,34,60,,9-12
346,Squirrel Hill North,,,12,,12,,125,158,Y,115,43,158,,9-12
347,Squirrel Hill South,12,,14,14,17,,192,249,N,190,59,249,,9-12
348,Stanton Heights,53,,,,12,,25,93,Y,17,76,93,,9-12
349,Strip District,,,,,,,,,Y,,,,Y,9-12
350,Summer Hill,,,,,,,,13,Y,,,13,Y,9-12
351,Swisshelm Park,,,,,,,30,36,Y,,,36,Y,9-12
352,Terrace Village,98,,,,,,,98,N,42,56,98,,9-12
353,Troy Hill,15,,,,,,26,44,Y,14,30,44,,9-12
354,Upper Hill,36,,,,,,,40,Y,17,23,40,,9-12
355,Upper Lawrenceville,,,,,,,13,24,Y,,,24,Y,9-12
356,West End,,,,,,,,,Y,,,,Y,9-12
357,West Oakland,13,,,,,,,14,Y,,,14,Y,9-12
358,Westwood,,,17,,,,34,62,Y,41,21,62,,9-12
359,Wilkinsburg Borough,178,,,,,,,194,Y,,,194,Y,9-12
360,Windgap,19,,,,,,,31,Y,19,12,31,,9-12
